"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV101","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Raphanus","s__sativus"
"PRJNA356769a_ITS2_ASV102","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__vulgaris"
"PRJNA356769a_ITS2_ASV104","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Melissa","s__axillaris"
"PRJNA356769a_ITS2_ASV21","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__parvifolius"
"PRJNA356769a_ITS2_ASV106","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769a_ITS2_ASV107","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Cenchrus","s__americanus"
"PRJNA356769a_ITS2_ASV108","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769a_ITS2_ASV109","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Chlorellales","f__Chlorellaceae","g__Prototheca","s__bovis"
"PRJNA356769a_ITS2_ASV110","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Anacardium","s__occidentale"
"PRJNA356769a_ITS2_ASV113","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Salsola","s__praecox"
"PRJNA356769a_ITS2_ASV115","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__melo"
"PRJNA356769a_ITS2_ASV118","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Aegilops","s__comosa"
"PRJNA356769a_ITS2_ASV119","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Ericales","f__Ericaceae","g__Vaccinium","s__hirsutum"
"PRJNA356769a_ITS2_ASV121","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769a_ITS2_ASV127","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","s__crispum"
"PRJNA356769a_ITS2_ASV129","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769a_ITS2_ASV13","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__huayavillense"
"PRJNA356769a_ITS2_ASV131","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Monocotyledonae_ord_Incertae_sedis","f__Monocotyledonae_fam_Incertae_sedis","g__Monocotyledonae_gen_Incertae_sedis",NA
"PRJNA356769a_ITS2_ASV133","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","s__aestivum"
"PRJNA356769a_ITS2_ASV134","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Zingiberales","f__Musaceae","g__Musa","s__acuminata"
"PRJNA356769a_ITS2_ASV138","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769a_ITS2_ASV139","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","s__vesicaria"
"PRJNA356769a_ITS2_ASV142","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769a_ITS2_ASV151","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Beta","s__macrocarpa"
"PRJNA356769a_ITS2_ASV162","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__japonica"
"PRJNA356769a_ITS2_ASV165","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Trebouxiales","f__Trebouxiaceae","g__Trebouxia",NA
"PRJNA356769a_ITS2_ASV168","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769a_ITS2_ASV82","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbitaceae_gen_Incertae_sedis",NA
"PRJNA356769a_ITS2_ASV18","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769a_ITS2_ASV185","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Bassia","s__scoparia"
"PRJNA356769a_ITS2_ASV19","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bambusa","s__nutans"
"PRJNA356769a_ITS2_ASV195","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Lactuca","s__saligna"
"PRJNA356769a_ITS2_ASV2","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769a_ITS2_ASV20","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Daucus","s__syrticus"
"PRJNA356769a_ITS2_ASV22","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Coriandrum","s__sativum"
"PRJNA356769a_ITS2_ASV28","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Juglans","s__hopeiensis"
"PRJNA356769a_ITS2_ASV30","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769a_ITS2_ASV37","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya","s__kweichowensis"
"PRJNA356769a_ITS2_ASV39","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Glycine","s__soja"
"PRJNA356769a_ITS2_ASV41","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769a_ITS2_ASV42","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769a_ITS2_ASV51","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769a_ITS2_ASV52","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769a_ITS2_ASV54","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769a_ITS2_ASV58","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","s__perennis"
"PRJNA356769a_ITS2_ASV59","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769a_ITS2_ASV6","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya",NA
"PRJNA356769a_ITS2_ASV63","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769a_ITS2_ASV64","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Sinapis","s__alba"
"PRJNA356769a_ITS2_ASV66","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae",NA,NA
"PRJNA356769a_ITS2_ASV69","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Chlamydomonadales","f__Coccomyxaceae","g__Choricystis","s__parasitica"
"PRJNA356769a_ITS2_ASV70","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","s__annuum"
"PRJNA356769a_ITS2_ASV78","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","s__granatum"
"PRJNA356769a_ITS2_ASV86","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769a_ITS2_ASV9","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","s__arvensis"
"PRJNA356769a_ITS2_ASV95","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","s__olivieri"
"PRJNA356769a_ITS2_ASV96","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","s__americana"
"PRJNA356769a_ITS2_ASV98","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
