sample,type
SRR5098332,PE300
SRR5098333,PE300
SRR5098341,PE300
SRR5098343,PE300
SRR5098346,PE300
SRR5098348,PE300
SRR5098349,PE300
SRR5098351,PE300
SRR5098356,PE250
SRR5098357,PE300
SRR5098359,PE300
SRR5098361,PE300
SRR5098364,PE300
SRR5098366,PE300
SRR5098367,PE300
SRR5098368,PE300
SRR5098369,PE300
SRR5098371,PE300
SRR5098372,PE300
SRR5098373,PE300
SRR5098374,PE300
SRR5098375,PE300
SRR5098376,PE300
SRR5098377,PE300
SRR5098378,PE300
SRR5098384,PE300
SRR5098385,PE300
SRR5098386,PE300
SRR5098388,PE300
SRR5098389,PE300
SRR5098390,PE300
SRR5098392,PE300
SRR5098393,PE300
SRR5098394,PE300
SRR5098395,PE300
SRR5098396,PE300
SRR5098397,PE300
SRR5098398,PE300
SRR5098400,PE300
SRR5098401,PE300
SRR5098402,PE300
SRR5098403,PE300
SRR5098404,PE250
SRR5098406,PE300
SRR5098409,PE300
SRR5098410,PE300
SRR5098411,PE300
SRR5098413,PE300
SRR5098415,PE300
SRR5098420,PE300
SRR5098421,PE300
SRR5098425,PE300
SRR5098426,PE300
SRR5098429,PE300
SRR5098430,PE300
SRR5098434,PE300
SRR5098435,PE300
SRR5098436,PE300
SRR5098438,PE300
SRR5098439,PE300
SRR5098440,PE250
SRR5098442,PE300
SRR5098443,PE300
SRR5098446,PE300
SRR5098447,PE300
SRR5098449,PE300
SRR5098450,PE300
SRR5098453,PE300
SRR5098454,PE300
SRR5098456,PE300
SRR5098457,PE300
SRR5098458,PE300
SRR5098459,PE300
SRR5098460,PE300
SRR5098461,PE300
SRR5098466,PE300
SRR5098467,PE300
SRR5098469,PE300
SRR5098470,PE250
SRR5098471,PE300
SRR5098473,PE300
SRR5098475,PE300
SRR5098477,PE300
SRR5098478,PE300
SRR5098479,PE300
SRR5098481,PE300
SRR5098483,PE300
SRR5098484,PE300
SRR5098486,PE300
SRR5098487,PE300
SRR5098489,PE300
SRR5098490,PE300
SRR5098491,PE250
SRR5098493,PE300
SRR5098494,PE300
SRR5098495,PE300
SRR5098496,PE300
SRR5098498,PE300
SRR5098499,PE300
SRR5098500,PE300
SRR5098501,PE300
SRR5098503,PE300
SRR5098506,PE300
SRR5098507,PE300
SRR5098510,PE300
SRR5098515,PE250
SRR5098516,PE300
SRR5098517,PE300
SRR5098518,PE300
SRR5098520,PE300
SRR5098521,PE300
SRR5098523,PE300
SRR5098524,PE250
SRR5098526,PE300
SRR5098527,PE300
SRR5098529,PE300
SRR5098534,PE300
SRR5098535,PE300
SRR5098536,PE300
SRR5098537,PE300
SRR5098539,PE300
SRR5098540,PE300
SRR5098541,PE300
SRR5098542,PE300
SRR5098543,PE300
SRR5098544,PE300
SRR5098546,PE300
SRR5098548,PE300
SRR5098551,PE300
SRR5098554,PE300
SRR5098555,PE250
SRR5098557,PE300
SRR5098558,PE300
SRR5098559,PE300
SRR5098560,PE300
SRR5098561,PE300
SRR5098564,PE300
SRR5098565,PE300
SRR5098566,PE300
SRR5098568,PE300
SRR5098569,PE300
SRR5098571,PE300
SRR5098573,PE300
SRR5098574,PE300
SRR5098575,PE300
SRR5098576,PE300
SRR5098577,PE300
SRR5098579,PE300
SRR5098581,PE300
SRR5098582,PE300
SRR5098583,PE300
SRR5098584,PE300
SRR5098586,PE300
SRR5098588,PE250
SRR5098589,PE300
SRR5098590,PE300
SRR5098593,PE300
SRR5098595,PE300
SRR5098596,PE300
SRR5098597,PE300
SRR5098598,PE300
SRR5098599,PE300
SRR5098600,PE300
SRR5098601,PE300
SRR5098602,PE300
SRR5098603,PE300
SRR5098604,PE300
SRR5098605,PE300
SRR5098607,PE300
SRR5098610,PE300
SRR5098611,PE300
SRR5098613,PE300
SRR5098614,PE300
SRR5098668,PE300
SRR5098669,PE300
SRR5098671,PE300
SRR5098673,PE300
SRR5098675,PE300
SRR5098680,PE300
SRR5098681,PE300
SRR5098682,PE300
SRR5098685,PE300
SRR5098687,PE300
SRR5098688,PE300
SRR5098689,PE300
SRR5098690,PE300
SRR5098693,PE300
SRR5098694,PE300
SRR5098695,PE300
SRR5098696,PE300
SRR5098697,PE300
SRR5098701,PE300
SRR5098702,PE300
SRR5098703,PE250
SRR5098704,PE300
SRR5098705,PE300
SRR5098712,PE250
SRR5098713,PE300
SRR5098714,PE300
SRR5098715,PE300
SRR5098717,PE300
SRR5098719,PE300
SRR5098721,PE300
SRR5098722,PE300
SRR5098723,PE300
SRR5098724,PE300
SRR5098726,PE300
SRR5098727,PE300
SRR5098728,PE300
SRR5098729,PE300
SRR5098732,PE300
SRR5098733,PE300
SRR5098736,PE300
SRR5098737,PE300
SRR5098738,PE300
SRR5098740,PE300
SRR5098742,PE300
SRR5098746,PE300
SRR5098748,PE250
SRR5098752,PE300
SRR5098753,PE300
SRR5098756,PE300
SRR5098758,PE300
SRR5098759,PE300
SRR5098761,PE300
SRR5098764,PE300
SRR5098765,PE300
SRR5098767,PE300
SRR5098768,PE300
SRR5098769,PE300
SRR5098772,PE300
SRR5098776,PE300
SRR5098779,PE300
SRR5098780,PE300
SRR5098782,PE300